"date","original_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1974-01-01","1332.185317","1289.4341684338058","42.751134300569284","-34.0501444015645","119.55241300270308","1212.632889731672","1366.2354471359395"
"1975-01-01","1276.988291","1291.4210039765526","-14.43272272655264","-91.23400142868643","62.368555975581145","1214.619725274419","1368.2222826786863"
"1976-01-01","1258.193699","1288.5229585105044","-30.329232924566885","-107.13051162670067","46.472045777566905","1211.7216798083707","1365.324237212638"
"1977-01-01","1279.333237","1283.167530858396","-3.8342789052709825","-80.63555760740476","72.96699979686281","1206.3662521562624","1359.9688095605297"
"1978-01-01","1294.731707","1289.5208737054736","5.210815747651305","-71.59046295448248","82.0120944497851","1212.71959500334","1366.3221524076073"
"1979-01-01","1306.697463","1291.9700617158896","14.727448049735319","-62.07383065239847","91.5287267518691","1215.168783013756","1368.7713404180233"
"1980-01-01","1309.17995","1299.1132228667602","10.066708773864852","-66.73456992826894","86.86798747599863","1222.3119441646265","1375.914501568894"
"1981-01-01","1311.037386","1302.941620480172","8.095733035452804","-68.70554566668098","84.8970117375866","1226.1403417780384","1379.7428991823058"
"1982-01-01","1308.52582","1307.424208840808","1.1016700654420282","-75.69960863669176","77.90294876757581","1230.6229301386743","1384.2254875429417"
"1983-01-01","1328.089704","1312.8721166295823","15.217605050105155","-61.58367365202863","92.01888375223893","1236.0708379274486","1389.673395331716"
"1984-01-01","1330.340897","1321.0733510712282","9.267591311584306","-67.53368739054947","86.0688700137181","1244.2720723690945","1397.874629773362"
"1985-01-01","1225.997227","1311.8327611909165","-85.83556880810401","-162.6368475102378","-9.034290105970229","1235.0314824887828","1388.6340398930502"
"1986-01-01","1079.984326","1268.3423439013707","-188.3579689013707","-265.15924760350447","-111.55669019923691","1191.541065199237","1345.1436226035044"
"1987-01-01","1064.628403","1213.9701084172734","-149.34169044852342","-226.14296915065722","-72.54041174638964","1137.1688297151397","1290.771387119407"
"1988-01-01","1084.83818","1178.351165543299","-93.51303077767396","-170.31430947980775","-16.711752075540176","1101.5498868411653","1255.1524442454327"
"1989-01-01","1124.796748","1151.9286840366165","-27.131931106928974","-103.93320980906276","49.66934759520481","1075.1274053344828","1228.7299627387501"
"1990-01-01","1142.863999","1141.9921525632535","0.8718611086215416","-75.92941759351224","77.67313981075533","1065.1908738611198","1218.7934312653872"
"1991-01-01","1141.412246","1134.923849010899","6.488382434413464","-70.31289626772032","83.28966113654725","1058.1225703087653","1211.7251277130326"
"1992-01-01","1129.116657","1131.9331844367773","-2.8164852180273905","-79.61776392016118","73.98479348410639","1055.1319057346436","1208.734463138911"
"1993-01-01","1086.207843","1126.1876642173563","-39.979778475168715","-116.7810571773025","36.82150022696507","1049.3863855152226","1202.98894291949"
"1994-01-01","1054.580723","1110.7336871047924","-56.152998628229795","-132.9542773303636","20.64828007390399","1033.9324084026587","1187.534965806926"
"1995-01-01","1050.882962","1096.2589101250098","-45.37597555469728","-122.17725425683106","31.42530314743651","1019.457631422876","1173.0601888271435"
"1996-01-01","1033.208255","1084.2613061563936","-51.053054203268616","-127.8543329054024","25.74822449886517","1007.4600274542598","1161.0625848585273"
"1997-01-01","1044.689115","1070.9416780562149","-26.25259114215234","-103.05386984428613","50.548687559981445","994.1403993540811","1147.7429567583486"
"1998-01-01","1102.861932","1071.6907944247082","31.171144051854235","-45.63013465027955","107.97242275398801","994.8895157225744","1148.492073126842"
"1999-01-01","1176.182828","1089.833603519255","86.34925780887012","9.547979106736335","163.1505365110039","1013.0323248171211","1166.6348822213886"
"2000-01-01","1257.513464","1124.5423086505275","132.97111908384744","56.169840381713655","209.77239778598124","1047.7410299483938","1201.3435873526612"
"2001-01-01","1355.269159","1177.2297866864128","178.03937835264966","101.23809965051588","254.84065705478343","1100.4285079842791","1254.0310653885465"
"2002-01-01","1449.967827","1244.9843412152943","204.98343222220578","128.182153520072","281.78471092433955","1168.1830625131606","1321.785619917428"
"2003-01-01","1450.576253","1311.4329153174012","139.14337862791132","62.34209992577753","215.94465733004512","1234.6316366152676","1388.234194019535"
"2004-01-01","1461.740852","1360.0893642479596","101.65148047860293","24.85020177646915","178.45275918073673","1283.2880855458259","1436.8906429500933"
"2005-01-01","1479.020154","1406.7253810141942","72.29476058736829","-3.618751693906148","148.20827286864272","1330.8118687329197","1482.6388932954687"
"2006-01-01","1478.366287","1441.0004178540755","37.36591515373688","-41.835047540883366","116.56687784835712","1361.7994551594552","1520.2013805486959"
"2007-01-01","1511.008774","1469.2105694100267","41.79821965247331","-38.10441129246138","121.70085059740799","1389.3079384650919","1549.1132003549615"
"2008-01-01","1569.58042","1502.3132559679793","67.2671883679582","6.171096282394956","128.36328045352144","1441.2171638824161","1563.4093480535425"
"2009-01-01","1601.691377","1536.4357254229237","65.25568082707633","3.9899080529937905","126.52145360115887","1475.1699526488412","1597.7014981970062"
"2010-01-01","1613.66021","1566.0103345485395","47.64982170146041","-14.566380989167982","109.8660243920888","1503.794131857911","1628.226537239168"
"2011-01-01","1642.127291","1594.5103538111325","47.61696552480501","-14.093117440161642","109.32704848977167","1532.8002708461659","1656.2204367760992"
"2012-01-01","1667.15395","1623.3032186830258","43.850711981036774","3.0035412642972545","84.6978826977763","1582.4560479662862","1664.1503893997653"
"2013-01-01","1678.134699","1649.7177042666224","28.416939288065038","-11.04207695931698","67.87595553544705","1610.2586880192403","1689.1767205140045"