run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,coefficient,time_index,posterior_mean,ci_2.5,ci_97.5
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,0,0.029863342433185783,-0.14934600134518927,0.2078789656598277
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,5,0.02765384228466229,-0.14917486161946408,0.2020540652964409
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,11,0.024739100378267473,-0.14967378205522688,0.19569083245532318
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,16,0.022808726166510866,-0.14881312413016914,0.19210284973065472
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,21,0.020350035927417562,-0.1496304741120709,0.18861838066771233
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,27,0.0174427644041547,-0.15035722952014943,0.18187339118169815
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,32,0.01527256507235259,-0.15066215690582546,0.18019675352773087
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,37,0.013081342210354584,-0.15057582320433477,0.17577272694430077
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,43,0.010577819047548776,-0.15030433940486446,0.17224078302948137
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,48,0.008489025149701896,-0.15270025894643952,0.169264684092452
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,53,0.0063489105842124485,-0.1544794733056603,0.16670453741980307
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,59,0.0037289596025233494,-0.15531560868866287,0.163010768515472
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,64,0.001247079651321948,-0.160007802766099,0.16007286272750837
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,70,-0.001642359709999574,-0.1627107991901053,0.15720631599490226
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,75,-0.004060143207854131,-0.16590214597817826,0.15630858081233698
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,80,-0.006546883205438522,-0.17097351036063996,0.15426134805288275
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,86,-0.009175820903021053,-0.17613229846607614,0.15334887212424808
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,91,-0.011498351555838506,-0.1792867782340991,0.15290881237378914
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,96,-0.013590262690258568,-0.18145608148926803,0.15626483970083252
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,102,-0.016432351171281324,-0.1885567367744258,0.15419815855525207
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,107,-0.018657792776987377,-0.19464715812014954,0.15751872929184013
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,112,-0.020764366572015504,-0.19892542461222495,0.1591371084524116
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,118,-0.02348342297775317,-0.20848810087192285,0.15852298637750142
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,123,-0.02574524171608028,-0.2152198189393994,0.15998559542883858
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,0,-0.09463601226614664,-0.20207732112596707,0.026619937096442305
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,5,-0.08879770578790948,-0.192232257406081,0.029071765037048752
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,11,-0.08100035802842619,-0.18308131294909988,0.03173497413272891
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,16,-0.07589341621262762,-0.1766501601045281,0.03445004316932832
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,21,-0.06932278554817933,-0.16934576454884148,0.03790627586295396
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,27,-0.0615414514870676,-0.16099366440663568,0.04504061919114383
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,32,-0.05569742966207879,-0.1564397804488957,0.04944358231516047
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,37,-0.049823261259645577,-0.15234329189894363,0.05473673101159927
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,43,-0.043213609139503756,-0.1490041958904808,0.06089167000910043
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,48,-0.03766055170467312,-0.14545005015837295,0.06736481493138372
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,53,-0.03194639517325815,-0.14313351193423104,0.07526165012556874
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,59,-0.025065339800188147,-0.13995116924656392,0.0843227162024138
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,64,-0.018518386830441654,-0.13747035115463427,0.09310514323413173
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,70,-0.010926851948673443,-0.13639083852743322,0.10383989128389226
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,75,-0.004599357676553536,-0.13417906750179698,0.11544928687415351
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,80,0.0018476730908259411,-0.13287454379609243,0.12482811961908978
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,86,0.008801436652973229,-0.1328116359264308,0.13788078452263383
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,91,0.014859872512134956,-0.13157529475646906,0.15133941826763067
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,96,0.02041513981375637,-0.13024783211460003,0.1652163507422759
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,102,0.02787270280070504,-0.12683333972012728,0.1814814411296173
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,107,0.03371000735872909,-0.1249589644884492,0.19472595046363808
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,112,0.039313867351652744,-0.12480125317728435,0.20615610024632225
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,118,0.04653982797560053,-0.12581228610903647,0.22229882402365164
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,123,0.052553453944683165,-0.12570749319324506,0.23335433797031654
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,0,0.029863342433185783,-0.14934600134518927,0.2078789656598277
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,5,0.02765384228466229,-0.14917486161946408,0.2020540652964409
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,11,0.024739100378267473,-0.14967378205522688,0.19569083245532318
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,16,0.022808726166510866,-0.14881312413016914,0.19210284973065472
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,21,0.020350035927417562,-0.1496304741120709,0.18861838066771233
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,27,0.0174427644041547,-0.15035722952014943,0.18187339118169815
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,32,0.01527256507235259,-0.15066215690582546,0.18019675352773087
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,37,0.013081342210354584,-0.15057582320433477,0.17577272694430077
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,43,0.010577819047548776,-0.15030433940486446,0.17224078302948137
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,48,0.008489025149701896,-0.15270025894643952,0.169264684092452
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,53,0.0063489105842124485,-0.1544794733056603,0.16670453741980307
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,59,0.0037289596025233494,-0.15531560868866287,0.163010768515472
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,64,0.001247079651321948,-0.160007802766099,0.16007286272750837
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,70,-0.001642359709999574,-0.1627107991901053,0.15720631599490226
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,75,-0.004060143207854131,-0.16590214597817826,0.15630858081233698
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,80,-0.006546883205438522,-0.17097351036063996,0.15426134805288275
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,86,-0.009175820903021053,-0.17613229846607614,0.15334887212424808
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,91,-0.011498351555838506,-0.1792867782340991,0.15290881237378914
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,96,-0.013590262690258568,-0.18145608148926803,0.15626483970083252
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,102,-0.016432351171281324,-0.1885567367744258,0.15419815855525207
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,107,-0.018657792776987377,-0.19464715812014954,0.15751872929184013
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,112,-0.020764366572015504,-0.19892542461222495,0.1591371084524116
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,118,-0.02348342297775317,-0.20848810087192285,0.15852298637750142
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_t,123,-0.02574524171608028,-0.2152198189393994,0.15998559542883858
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,0,-0.09463601226614664,-0.20207732112596707,0.026619937096442305
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,5,-0.08879770578790948,-0.192232257406081,0.029071765037048752
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,11,-0.08100035802842619,-0.18308131294909988,0.03173497413272891
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,16,-0.07589341621262762,-0.1766501601045281,0.03445004316932832
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,21,-0.06932278554817933,-0.16934576454884148,0.03790627586295396
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,27,-0.0615414514870676,-0.16099366440663568,0.04504061919114383
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,32,-0.05569742966207879,-0.1564397804488957,0.04944358231516047
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,37,-0.049823261259645577,-0.15234329189894363,0.05473673101159927
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,43,-0.043213609139503756,-0.1490041958904808,0.06089167000910043
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,48,-0.03766055170467312,-0.14545005015837295,0.06736481493138372
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,53,-0.03194639517325815,-0.14313351193423104,0.07526165012556874
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,59,-0.025065339800188147,-0.13995116924656392,0.0843227162024138
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,64,-0.018518386830441654,-0.13747035115463427,0.09310514323413173
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,70,-0.010926851948673443,-0.13639083852743322,0.10383989128389226
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,75,-0.004599357676553536,-0.13417906750179698,0.11544928687415351
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,80,0.0018476730908259411,-0.13287454379609243,0.12482811961908978
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,86,0.008801436652973229,-0.1328116359264308,0.13788078452263383
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,91,0.014859872512134956,-0.13157529475646906,0.15133941826763067
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,96,0.02041513981375637,-0.13024783211460003,0.1652163507422759
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,102,0.02787270280070504,-0.12683333972012728,0.1814814411296173
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,107,0.03371000735872909,-0.1249589644884492,0.19472595046363808
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,112,0.039313867351652744,-0.12480125317728435,0.20615610024632225
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,118,0.04653982797560053,-0.12581228610903647,0.22229882402365164
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_t,123,0.052553453944683165,-0.12570749319324506,0.23335433797031654
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,0,0.006736195043664984,-0.16653539292925093,0.17358893902672123
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,5,0.005526774564602657,-0.16576127230542656,0.17215585033078012
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,11,0.0013309670705108126,-0.1668897450179087,0.16261764422920952
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,16,0.005271389644979299,-0.16205985535229267,0.16990834457189619
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,21,0.01027612560457087,-0.16363376448185254,0.17525589667968655
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,27,0.00845095807722039,-0.16358858290577516,0.1716844787279994
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,32,0.00684487099815354,-0.16498277411925166,0.16677468296379389
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,37,0.00804825987626775,-0.1632640958219466,0.1694331372568968
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,43,0.01014876324342756,-0.1633436145472803,0.17255762565972058
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,48,0.014130100806900869,-0.163494655320751,0.1765028627727899
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_195638,hsa_full,labor_share_gap_hp,baseline,unrestricted,annual_q4,kappa_t,53,0.015630873992802025,-0.16119703373949426,0.17733206429508525
